encodedTitle,title,url
dassault-systemes-se,DASSAULT SYSTEMES SE,IID000000002163686
dassault-aviation-sa,DASSAULT AVIATION SA,IID000000002132096
texas-instruments-incorporated,TEXAS INSTRUMENTS INCORPORATED,IID000000002186653
tiffany-co,TIFFANY & CO.,IID000000002186888
tim-participacoes-sa,TIM Participacoes S.A.,IID000000002138115
titan-company-limited,TITAN COMPANY LIMITED,IID000000002146121
titan-cement-international-sa,TITAN CEMENT INTERNATIONAL SA,IID000000003153946
tingyi-cayman-islands-holding-corp,TINGYI (CAYMAN ISLANDS) HOLDING CORP.,IID000000002137182
tiger-brands-limited,TIGER BRANDS LIMITED,IID000000002186891
tianqi-lithium-corporation,Tianqi Lithium Corporation,IID000000002597992
yunnan-tin-co-ltd,"Yunnan Tin Co., Ltd.",IID000000002131906
tianma-microelectronics-co-ltd,"Tianma Microelectronics Co., Ltd.",IID000000002183472
ramsay-health-care-limited,RAMSAY HEALTH CARE LIMITED,IID000000002124998
the-southern-company,THE SOUTHERN COMPANY,IID000000002123700
the-travelers-companies-inc,"The Travelers Companies, Inc.",IID000000002140205
the-blackstone-group-inc,THE BLACKSTONE GROUP INC.,IID000000002199653
the-pacific-securities-co-ltd,"The Pacific Securities Co., Ltd.",IID000000002186756
the-coca-cola-company,THE COCA-COLA COMPANY,IID000000002151560
the-kraft-heinz-company,THE KRAFT HEINZ COMPANY,IID000000002663580
emaar-the-economic-city-sjsc,Emaar The Economic City SJSC,IID000000002144754
the-saudi-british-bank-sjsc,The Saudi British Bank SJSC,IID000000002182782
the-national-commercial-bank-sjsc,The National Commercial Bank SJSC,IID000000002255105
the-shanghai-commercial-savings-bank-ltd,"The Shanghai Commercial & Savings Bank, Ltd.",IID000000002239411
jumbo-sa,JUMBO S.A.,IID000000002172084
morgan-stanley,MORGAN STANLEY,IID000000002125231
kinder-morgan-inc,"KINDER MORGAN, INC.",IID000000002453931
aker-bp-asa,AKER BP ASA,IID000000002278140
gvc-holdings-plc,GVC HOLDINGS PLC,IID000000002609331
metso-oyj,Metso Oyj,IID000000002175544
jcdecaux-sa,JCDECAUX SA,IID000000002143317
elisa-oyj,Elisa Oyj,IID000000002165151
inner-mongolia-yitai-coal-co-ltd,"INNER MONGOLIA YITAI COAL CO., LTD",IID000000002170666
symrise-ag,Symrise AG,IID000000002147336
cielo-sa,CIELO S.A.,IID000000002402447
burberry-group-plc,BURBERRY GROUP PLC,IID000000002160303
sensata-technologies-holding-plc,SENSATA TECHNOLOGIES HOLDING PLC,IID000000002837879
intertek-group-plc,INTERTEK GROUP PLC,IID000000002171081
pandora-a/s,PANDORA A/S,IID000000002416719
verbund-ag,VERBUND AG,IID000000002144506
signature-bank,SIGNATURE BANK,IID000000002183726
china-railway-signal-communication-corporation-limited,China Railway Signal & Communication Corporation Limited,IID000000002706608
garmin-ltd,Garmin Ltd.,IID000000002132648
shennan-circuits-co-ltd,"Shennan Circuits Co., Ltd.",IID000000002629119
wus-printed-circuit-kunshan-co-ltd,Wus Printed Circuit Kunshan Co Ltd,IID000000002597216
chaozhou-three-circle-group-co-ltd,Chaozhou Three-circle Group Co Ltd,IID000000002715557
vifor-pharma-ag,Vifor Pharma AG,IID000000002126501
snam-spa,SNAM S.P.A.,IID000000002184092
rentokil-initial-plc,RENTOKIL INITIAL PLC,IID000000002181322
geberit-ag,Geberit AG,IID000000002134674
weir-group-plc-the-,WEIR GROUP PLC(THE),IID000000002129110
smiths-group-plc,SMITHS GROUP PLC,IID000000002128288
national-grid-plc,NATIONAL GRID PLC,IID000000002144259
fidelity-national-financial-inc,"FIDELITY NATIONAL FINANCIAL, INC.",IID000000002150309
national-retail-properties-inc,"NATIONAL RETAIL PROPERTIES, INC.",IID000000002153731
arab-national-bank,Arab National Bank,IID000000002157701
china-national-accord-medicines-corporation-ltd,China National Accord Medicines Corporation Ltd.,IID000000002148546
the-national-commercial-bank-sjsc,The National Commercial Bank SJSC,IID000000002255105
china-national-nuclear-power-co-ltd,"China National Nuclear Power Co., Ltd",IID000000002412224
lincoln-national-corporation,LINCOLN NATIONAL CORPORATION,IID000000002173876
zions-bancorporation-national-association,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION",IID000000002226901
national-oilwell-varco-inc,"NATIONAL OILWELL VARCO, INC.",IID000000002176871
amerco,AMERCO,IID000000002136851
amerisourcebergen-corporation,AMERISOURCEBERGEN CORPORATION,IID000000002148728
ameriprise-financial-inc,"AMERIPRISE FINANCIAL, INC.",IID000000002157298
ameren-corporation,AMEREN CORPORATION,IID000000002157110
lojas-americanas-sa,LOJAS AMERICANAS S.A.,IID000000002174012
td-ameritrade-holding-corporation,TD AMERITRADE HOLDING CORPORATION,IID000000002149422
enel-americas-sa,Enel Americas S.A.,IID000000002152389
american-airlines-group-inc,AMERICAN AIRLINES GROUP INC.,IID000000002155659
anglo-american-plc,ANGLO AMERICAN PLC,IID000000002123931
american-tower-corporation,AMERICAN TOWER CORPORATION,IID000000002157276
orange-sa,ORANGE S.A.,IID000000002133302
orange-polska-spolka-akcyjna,ORANGE POLSKA SPOLKA AKCYJNA,IID000000002186456
orange-life-insurance-ltd,"Orange Life Insurance, Ltd.",IID000000002392573
ingenico-group-sa,INGENICO GROUP S.A.,IID000000002170620
informa-plc,INFORMA PLC,IID000000002716127
east-money-information-co-ltd,"East Money Information Co., Ltd.",IID000000002586318
dawning-information-industry-co-ltd,"Dawning Information Industry Co., Ltd.",IID000000002712904
westone-information-industry-inc,Westone Information Industry Inc.,IID000000002355300
fidelity-national-information-services-inc,"FIDELITY NATIONAL INFORMATION SERVICES, INC.",IID000000002166364
alibaba-health-information-technology-limited,ALIBABA HEALTH INFORMATION TECHNOLOGY LIMITED,IID000000002160570
hithink-royalflush-information-network-co-ltd,"Hithink RoyalFlush Information Network Co., Ltd.",IID000000002573115
citic-guoan-information-industry-co-ltd,"CITIC Guoan Information Industry Co., Ltd.",IID000000002160571
beijing-shiji-information-technology-co-ltd,"Beijing Shiji Information Technology Co., Ltd.",IID000000002148614
inspur-electronic-information-industry-co-ltd,"Inspur Electronic Information Industry Co., Ltd.",IID000000002170748
fuchs-petrolub-se,FUCHS PETROLUB SE,IID000000002672787
koninklijke-philips-nv,Koninklijke Philips N.V.,IID000000002144603
koninklijke-vopak-nv,Koninklijke Vopak N.V.,IID000000002172940
koninklijke-kpn-nv,Koninklijke KPN N.V.,IID000000002172937
koninklijke-dsm-nv,Koninklijke DSM N.V.,IID000000002144233
koninklijke-ahold-delhaize-nv,Koninklijke Ahold Delhaize N.V.,IID000000002172935
aker-bp-asa,AKER BP ASA,IID000000002278140
telenet-group-holding-nv,TELENET GROUP HOLDING N.V.,IID000000002153256
le-groupe-stars-inc,LE GROUPE STARS INC.,IID000000002834633
publicis-groupe-sa,PUBLICIS GROUPE SA,IID000000002180452
groupe-wsp-global-inc,GROUPE WSP GLOBAL INC.,IID000000002684564
cgi-inc,CGI INC.,IID000000002133487
cyfrowy-polsat-spolka-akcyjna,CYFROWY POLSAT SPOLKA AKCYJNA,IID000000002200101
sonova-holding-ag,Sonova Holding AG,IID000000002184374
eon-se,E.ON SE,IID000000002130138
biomerieux-sa,BIOMERIEUX SA,IID000000002140364
h-m-hennes-mauritz-ab,H & M Hennes & Mauritz AB,IID000000002135027
h-r-real-estate-investment-trust,H&R Real Estate Investment Trust,IID000000002200905
hankyu-hanshin-holdings-inc,"Hankyu Hanshin Holdings,Inc.",IID000000002141175
hydro-one-limited,HYDRO ONE LIMITED,IID000000002745802
lg-household-health-care-ltd,LG HOUSEHOLD & HEALTH CARE LTD,IID000000002152218
hanesbrands-inc,HANESBRANDS INC.,IID000000002168900
halliburton-company,HALLIBURTON COMPANY,IID000000002142486
h-lundbeck-a/s,H. LUNDBECK A/S,IID000000002168620
halma-public-limited-company,HALMA PUBLIC LIMITED COMPANY,IID000000002168855
harley-davidson-inc,"HARLEY-DAVIDSON, INC.",IID000000002168985
coloplast-a/s,COLOPLAST A/S,IID000000002142057
terna-rete-elettrica-nazionale-societa-per-azioni,TERNA - RETE ELETTRICA NAZIONALE SOCIETA PER AZIONI,IID000000002185719
whitbread-plc,WHITBREAD PLC,IID000000002129162
ipsen-sa,IPSEN SA,IID000000002151843
london-stock-exchange-group-plc,LONDON STOCK EXCHANGE GROUP PLC,IID000000002676654
owens-corning,OWENS CORNING,IID000000002178493
ocado-group-plc,OCADO GROUP PLC,IID000000002596635
oci-company-ltd,OCI Company Ltd.,IID000000002163365
oceanwide-holdings-co-ltd,"OCEANWIDE HOLDINGS CO., LTD.",IID000000002177982
pan-ocean-co-ltd,"Pan Ocean Co., Ltd.",IID000000002135932
sino-ocean-group-holding-limited,Sino-Ocean Group Holding Limited,IID000000002141116
occidental-petroleum-corporation,OCCIDENTAL PETROLEUM CORPORATION,IID000000002153341
oversea-chinese-banking-corporation-limited,OVERSEA-CHINESE BANKING CORPORATION LIMITED,IID000000002178485
grupa-lotos-spolka-akcyjna,GRUPA LOTOS SPOLKA AKCYJNA,IID000000002126518
pge-polska-grupa-energetyczna-spolka-akcyjna,PGE POLSKA GRUPA ENERGETYCZNA SPOLKA AKCYJNA,IID000000002408558
tele2-ab,Tele2 AB,IID000000002186408
meggitt-plc,MEGGITT PLC,IID000000002127391
the-southern-company,THE SOUTHERN COMPANY,IID000000002123700
the-travelers-companies-inc,"The Travelers Companies, Inc.",IID000000002140205
the-blackstone-group-inc,THE BLACKSTONE GROUP INC.,IID000000002199653
the-pacific-securities-co-ltd,"The Pacific Securities Co., Ltd.",IID000000002186756
the-coca-cola-company,THE COCA-COLA COMPANY,IID000000002151560
the-kraft-heinz-company,THE KRAFT HEINZ COMPANY,IID000000002663580
emaar-the-economic-city-sjsc,Emaar The Economic City SJSC,IID000000002144754
the-saudi-british-bank-sjsc,The Saudi British Bank SJSC,IID000000002182782
the-national-commercial-bank-sjsc,The National Commercial Bank SJSC,IID000000002255105
the-shanghai-commercial-savings-bank-ltd,"The Shanghai Commercial & Savings Bank, Ltd.",IID000000002239411
fidelity-national-information-services-inc,"FIDELITY NATIONAL INFORMATION SERVICES, INC.",IID000000002166364
nisource-inc,NISOURCE INC.,IID000000002152910
nissan-motor-co-ltd,"NISSAN MOTOR CO.,LTD.",IID000000002176536
nisshin-seifun-group-inc,NISSHIN SEIFUN GROUP INC.,IID000000002132562
nissan-chemical-corporation,Nissan Chemical Corporation,IID000000002141087
nissin-foods-holdings-co-ltd,"NISSIN FOODS HOLDINGS CO.,LTD.",IID000000002149498
companhia-de-saneamento-basico-do-estado-de-sao-paulo-sabesp,Companhia de Saneamento Basico do Estado de Sao Paulo - SABESP,IID000000002162589
allegion-public-limited-company,ALLEGION PUBLIC LIMITED COMPANY,IID000000002676862
deere-company,DEERE & COMPANY,IID000000002155169
banco-de-chile,Banco de Chile,IID000000002159011
kimberly-clark-de-mexico-sab-de-cv,"Kimberly-Clark de Mexico, S.A.B. de C.V.",IID000000002172712
banco-de-credito-e-inversiones,Banco de Credito e Inversiones,IID000000002148047
el-puerto-de-liverpool-sociedad-anonima-bursatil-de-capital-variable,"El Puerto de Liverpool, Sociedad Anonima Bursatil de Capital Variable",IID000000002165030
compania-de-minas-buenaventura-saa,COMPANIA DE MINAS BUENAVENTURA S.A.A.,IID000000002141929
sociedad-quimica-y-minera-de-chile-sa,Sociedad Quimica y Minera de Chile S.A.,IID000000002202798
demant-a/s,Demant A/S,IID000000002128271
dell-technologies-inc,DELL TECHNOLOGIES INC.,IID000000002679633
wal-mart-de-mexico-sab-de-cv,"Wal-Mart de Mexico, S.A.B. de C.V.",IID000000002147475
larsen-and-toubro-limited,LARSEN AND TOUBRO LIMITED,IID000000002173528
l-e-lundbergforetagen-aktiebolag-publ-,L E Lundbergforetagen Aktiebolag (publ),IID000000002126184
lafargeholcim-ltd,LafargeHolcim Ltd,IID000000002143266
loews-corporation,LOEWS CORPORATION,IID000000002123986
les-compagnies-loblaw-limitee,LES COMPAGNIES LOBLAW LIMITEE,IID000000002173985
wm-morrison-supermarkets-p-l-c,WM MORRISON SUPERMARKETS P L C,IID000000002144164
lam-research-corporation,LAM RESEARCH CORPORATION,IID000000002173442
latam-airlines-group-sa,LATAM Airlines Group S.A.,IID000000002173457
laboratory-corporation-of-america-holdings,LABORATORY CORPORATION OF AMERICA HOLDINGS,IID000000002140213
land-securities-group-plc,LAND SECURITIES GROUP PLC,IID000000002173469
svenska-handelsbanken-ab,Svenska Handelsbanken AB,IID000000002185433
united-microelectronics-corp,UNITED MICROELECTRONICS CORP.,IID000000002130641
united-technologies-corporation,UNITED TECHNOLOGIES CORPORATION,IID000000002188149
united-rentals-inc,"UNITED RENTALS, INC.",IID000000002188137
united-spirits-limited,UNITED SPIRITS LIMITED,IID000000002188143
united-internet-ag,United Internet AG,IID000000002188105
united-utilities-group-plc,UNITED UTILITIES GROUP PLC,IID000000002137341
united-airlines-holdings-inc,"UNITED AIRLINES HOLDINGS, INC.",IID000000002187691
people-s-united-financial-inc,"PEOPLE'S UNITED FINANCIAL, INC.",IID000000002179308
pt-united-tractors-tbk,PT United Tractors Tbk,IID000000002188154
united-urban-investment-corporation,United Urban Investment Corporation,IID000000002203116
wirecard-ag,Wirecard AG,IID000000002189667
flutter-entertainment-plc,FLUTTER ENTERTAINMENT PLC,IID000000002178815
ems-chemie-holding-ag,EMS-CHEMIE HOLDING AG,IID000000002151050
mol-magyar-olaj-es-gazipari-nyilvanosan-mukodo-reszvenytarsasag,MOL Magyar Olaj- es Gazipari Nyilvanosan Mukodo Reszvenytarsasag,IID000000002174446
severn-trent-plc,SEVERN TRENT PLC,IID000000002137326
signature-bank,SIGNATURE BANK,IID000000002183726
pirelli-c-spa,PIRELLI & C. S.P.A.,IID000000002152063
ss-c-technologies-holdings-inc,"SS&C TECHNOLOGIES HOLDINGS, INC.",IID000000002589603
xiamen-c-d-inc,XIAMEN C&D INC.,IID000000002189911
samsung-c-t-corporation,SAMSUNG C&T CORPORATION,IID000000002244000
zhongan-online-p-c-insurance-co-ltd,ZhongAn Online P & C Insurance Co Ltd,IID000000002772799
citigroup-inc,CITIGROUP INC.,IID000000002162112
cae-inc,CAE INC.,IID000000002160402
corporation-cameco,CORPORATION CAMECO,IID000000002140222
capgemini-se,CAPGEMINI SE,IID000000002124071
caixabank-sa,"Caixabank, S.A.",IID000000002163116
jacobs-engineering-group-inc,JACOBS ENGINEERING GROUP INC.,IID000000002126222
johnson-johnson,JOHNSON & JOHNSON,IID000000002171982
j-b-hunt-transport-services-inc,"J. B. HUNT TRANSPORT SERVICES, INC.",IID000000002141056
j-sainsbury-plc,J SAINSBURY PLC,IID000000002149768
arthur-j-gallagher-co,ARTHUR J. GALLAGHER & CO.,IID000000002140260
jbs-sa,JBS S.A.,IID000000002171590
jdcom-inc,"JD.COM, INC.",IID000000002695241
the-j-m-smucker-company,THE J. M. SMUCKER COMPANY,IID000000002123695
jardine-matheson-holdings-limited,JARDINE MATHESON HOLDINGS LIMITED,IID000000002142799
jack-henry-associates-inc,"JACK HENRY & ASSOCIATES, INC.",IID000000002124548
red-electrica-corporacion-sa,"Red Electrica Corporacion, S.A.",IID000000002145368
redefine-properties-limited,REDEFINE PROPERTIES LIMITED,IID000000002137018
drreddy-s-laboratories-ltd,DR.REDDY'S LABORATORIES LTD,IID000000002164395
ia-societe-financiere-inc,iA Societe Financiere Inc.,IID000000002935272
societe-aurifere-barrick,SOCIETE AURIFERE BARRICK,IID000000002928769
societe-generale-sa,SOCIETE GENERALE SA,IID000000002151773
societe-financiere-igm-inc,SOCIETE FINANCIERE IGM INC.,IID000000002142973
l-air-liquide-societe-anonyme-pour-l-etude-et-l-exploitation-des-procedes-georges-claude-sa,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE SA,IID000000002124820
novozymes-a/s,NOVOZYMES A/S,IID000000002152916
leggett-platt-incorporated,"LEGGETT & PLATT, INCORPORATED",IID000000002132016
legrand-sa,LEGRAND S.A.,IID000000002173667
legend-holdings-corporation,Legend Holdings Corporation,IID000000002351523
legal-general-group-plc,LEGAL & GENERAL GROUP PLC,IID000000002173663
edp-energias-de-portugal-sa,"EDP - Energias de Portugal, S.A.",IID000000002148930
kinnevik-ab,Kinnevik AB,IID000000002172773
assa-abloy-ab,ASSA ABLOY AB,IID000000002132144
anheuser-busch-inbev-nv,ANHEUSER-BUSCH INBEV N.V.,IID000000002775777
swedbank-ab,Swedbank AB,IID000000002152716
boliden-ab,Boliden AB,IID000000002159894
skanska-ab,Skanska AB,IID000000002183971
securitas-ab,Securitas AB,IID000000002150938
tele2-ab,Tele2 AB,IID000000002186408
svenska-handelsbanken-ab,Svenska Handelsbanken AB,IID000000002185433
swedish-match-ab,Swedish Match AB,IID000000002185460
aflac-incorporated,AFLAC INCORPORATED,IID000000002123719
american-financial-group-inc,"AMERICAN FINANCIAL GROUP, INC.",IID000000002157169
carl-zeiss-meditec-ag,Carl Zeiss Meditec AG,IID000000002161097
demant-a/s,Demant A/S,IID000000002128271
oci-company-ltd,OCI Company Ltd.,IID000000002163365
lpp-spolka-akcyjna,LPP SPOLKA AKCYJNA,IID000000002173340
ocado-group-plc,OCADO GROUP PLC,IID000000002596635
nmc-health-plc,NMC HEALTH PLC,IID000000002643578
inter-pipeline-ltd,INTER PIPELINE LTD.,IID000000002201119
inter-rao-ees-pao,INTER RAO EES PAO,IID000000002285920
iac/interactivecorp,IAC/INTERACTIVECORP,IID000000002132644
intertek-group-plc,INTERTEK GROUP PLC,IID000000002171081
interglobe-aviation-ltd,Interglobe Aviation Ltd,IID000000002706961
the-interpublic-group-of-companies-inc,"THE INTERPUBLIC GROUP OF COMPANIES, INC.",IID000000002171061
interconexion-electrica-sa-esp,Interconexion Electrica S.A. E.S.P.,IID000000002170877
united-internet-ag,United Internet AG,IID000000002188105
youzu-interactive-co-ltd,"YOUZU Interactive CO., LTD.",IID000000002131987
notre-dame-intermedica-participacoes-sa,Notre Dame Intermedica Participacoes S.A.,IID000000002762735
ubisoft-entertainment-sa,UBISOFT ENTERTAINMENT S.A.,IID000000002187852
elisa-oyj,Elisa Oyj,IID000000002165151
hilton-worldwide-holdings-inc,HILTON WORLDWIDE HOLDINGS INC.,IID000000002677047
schibsted-asa,SCHIBSTED ASA,IID000000002153893
icade-sa,ICADE S.A.,IID000000002170187
la-banque-toronto-dominion,LA BANQUE TORONTO-DOMINION,IID000000002137216
land-securities-group-plc,LAND SECURITIES GROUP PLC,IID000000002173469
lanxess-aktiengesellschaft,LANXESS Aktiengesellschaft,IID000000002173257
lafargeholcim-ltd,LafargeHolcim Ltd,IID000000002143266
lawson-inc,"Lawson, Inc.",IID000000002124391
jones-lang-lasalle-incorporated,JONES LANG LASALLE INCORPORATED,IID000000002148704
laboratory-corporation-of-america-holdings,LABORATORY CORPORATION OF AMERICA HOLDINGS,IID000000002140213
ralph-lauren-corporation,RALPH LAUREN CORPORATION,IID000000002179845
alfa-laval-ab,Alfa Laval AB,IID000000002156720
lam-research-corporation,LAM RESEARCH CORPORATION,IID000000002173442
the-williams-companies-inc,"THE WILLIAMS COMPANIES, INC.",IID000000002189593
the-sherwin-williams-company,THE SHERWIN-WILLIAMS COMPANY,IID000000002183486
leonardo-societa-per-azioni,LEONARDO - SOCIETA PER AZIONI,IID000000002166466
unicredit-societa-per-azioni,"UNICREDIT, SOCIETA PER AZIONI",IID000000002127163
assicurazioni-generali-societa-per-azioni,ASSICURAZIONI GENERALI - SOCIETA PER AZIONI,IID000000002140270
poste-italiane-societa-per-azioni,POSTE ITALIANE - SOCIETA PER AZIONI,IID000000002232880
terna-rete-elettrica-nazionale-societa-per-azioni,TERNA - RETE ELETTRICA NAZIONALE SOCIETA PER AZIONI,IID000000002185719
mediobanca-banca-di-credito-finanziario-societa-per-azioni,MEDIOBANCA BANCA DI CREDITO FINANZIARIO SOCIETA PER AZIONI,IID000000002175223
perkinelmer-inc,"PERKINELMER, INC.",IID000000002179339
persimmon-public-limited-company,PERSIMMON PUBLIC LIMITED COMPANY,IID000000002179360
perrigo-company-public-limited-company,PERRIGO COMPANY PUBLIC LIMITED COMPANY,IID000000002680214
pernod-ricard-sa,PERNOD RICARD S.A.,IID000000002136177
worldline-sa,WORLDLINE SA,IID000000002687463
davide-campari-milano-spa,DAVIDE CAMPARI-MILANO S.P.A.,IID000000002134162
the-southern-company,THE SOUTHERN COMPANY,IID000000002123700
the-travelers-companies-inc,"The Travelers Companies, Inc.",IID000000002140205
the-blackstone-group-inc,THE BLACKSTONE GROUP INC.,IID000000002199653
the-pacific-securities-co-ltd,"The Pacific Securities Co., Ltd.",IID000000002186756
the-coca-cola-company,THE COCA-COLA COMPANY,IID000000002151560
the-kraft-heinz-company,THE KRAFT HEINZ COMPANY,IID000000002663580
emaar-the-economic-city-sjsc,Emaar The Economic City SJSC,IID000000002144754
the-saudi-british-bank-sjsc,The Saudi British Bank SJSC,IID000000002182782
the-national-commercial-bank-sjsc,The National Commercial Bank SJSC,IID000000002255105
the-shanghai-commercial-savings-bank-ltd,"The Shanghai Commercial & Savings Bank, Ltd.",IID000000002239411
marriott-international-inc,"MARRIOTT INTERNATIONAL, INC.",IID000000002148653
swedish-match-ab,Swedish Match AB,IID000000002185460
polymetal-international-plc,POLYMETAL INTERNATIONAL PLC,IID000000002631142
sartorius-aktiengesellschaft,Sartorius Aktiengesellschaft,IID000000002182746
sartorius-stedim-biotech-sa,SARTORIUS STEDIM BIOTECH S.A.,IID000000002182747
te-connectivity-ltd,TE Connectivity Ltd.,IID000000002153954
waste-connections-inc,"Waste Connections, Inc.",IID000000002767470
nh-foods-ltd,NH Foods Ltd.,IID000000002176515
nh-investment-securities-co-ltd,"NH INVESTMENT & SECURITIES CO.,LTD",IID000000002189738
zhejiang-nhu-company-ltd,ZHEJIANG NHU COMPANY LTD.,IID000000002131925
northam-platinum-limited,Northam Platinum Limited,IID000000002177593
norsk-hydro-asa,Norsk Hydro ASA,IID000000002127715
nokian-renkaat-oyj,Nokian Renkaat Oyj,IID000000002148927
raymond-james-financial-inc,"RAYMOND JAMES FINANCIAL, INC.",IID000000002181068
james-hardie-industries-public-limited-company,JAMES HARDIE INDUSTRIES PUBLIC LIMITED COMPANY,IID000000002201191
st-james-s-place-plc,ST. JAMES'S PLACE PLC,IID000000002184744
jardine-matheson-holdings-limited,JARDINE MATHESON HOLDINGS LIMITED,IID000000002142799
jeronimo-martins-sgps-sa,"Jeronimo Martins, SGPS, S.A.",IID000000002127078
johnson-matthey-plc,JOHNSON MATTHEY PLC,IID000000002152061
wh-group-limited,WH GROUP LIMITED,IID000000002671984
whirlpool-corporation,WHIRLPOOL CORPORATION,IID000000002189533
whitbread-plc,WHITBREAD PLC,IID000000002129162
wheaton-precious-metals-corp,Wheaton Precious Metals Corp.,IID000000002128842
wheelock-and-company-limited,WHEELOCK AND COMPANY LIMITED,IID000000002148736
the-wharf-holdings-limited,The Wharf (Holdings) Limited,IID000000002189526
zhejiang-wanfeng-auto-wheel-co-ltd,"Zhejiang Wanfeng Auto Wheel Co., Ltd.",IID000000002140098
wharf-real-estate-investment-company-limited,WHARF REAL ESTATE INVESTMENT COMPANY LIMITED,IID000000002822513
washington-h-soul-pattinson-and-company-limited,WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED,IID000000002150028
costco-wholesale-corporation,COSTCO WHOLESALE CORPORATION,IID000000002123904
croda-international-public-limited-company,CRODA INTERNATIONAL PUBLIC LIMITED COMPANY,IID000000002163125
origin-energy-limited,ORIGIN ENERGY LIMITED,IID000000002178371
beijing-originwater-technology-co-ltd,"Beijing Originwater Technology Co., Ltd.",IID000000002588404
telefonica-deutschland-holding-ag,Telefonica Deutschland Holding AG,IID000000002654293
xinyi-solar-holdings-limited,XINYI SOLAR HOLDINGS LIMITED,IID000000002681440
aktiebolaget-industrivarden,Aktiebolaget Industrivarden,IID000000002170530
cnh-industrial-nv,CNH Industrial N.V.,IID000000002677609
daelim-industrial-co-ltd,"DAELIM INDUSTRIAL CO.,LTD",IID000000002163524
industrial-bank-co-ltd,"INDUSTRIAL BANK CO.,LTD.",IID000000002126716
industrial-securities-co-ltd,"INDUSTRIAL SECURITIES CO., LTD.",IID000000002251948
toyota-industries-corporation,TOYOTA INDUSTRIES CORPORATION,IID000000002123942
ccl-industries-inc,CCL INDUSTRIES INC.,IID000000002160462
pidilite-industries-limited,PIDILITE INDUSTRIES LIMITED,IID000000002179583
brother-industries-ltd,"BROTHER INDUSTRIES, LTD.",IID000000002158809
hindalco-industries-limited,HINDALCO INDUSTRIES LIMITED,IID000000002169377
jazz-pharmaceuticals-public-limited-company,JAZZ PHARMACEUTICALS PUBLIC LIMITED COMPANY,IID000000002632309
anglo-american-platinum-limited,Anglo American Platinum Limited,IID000000002148995
amadeus-it-group-sa,Amadeus IT Group SA,IID000000002591911
richter-gedeon-vegyeszeti-gyar-nyilvanosan-mukodo-rt,Richter Gedeon Vegyeszeti Gyar Nyilvanosan Mukodo Rt.,IID000000002151502
johnson-matthey-plc,JOHNSON MATTHEY PLC,IID000000002152061
johnson-controls-international-public-limited-company,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,IID000000002717694
johnson-johnson,JOHNSON & JOHNSON,IID000000002171982
notre-dame-intermedica-participacoes-sa,Notre Dame Intermedica Participacoes S.A.,IID000000002762735
moncler-spa,MONCLER S.P.A.,IID000000002630755
idexx-laboratories-inc,"IDEXX LABORATORIES, INC.",IID000000002149285
idex-corporation,IDEX CORPORATION,IID000000002151231
idemitsu-kosan-co-ltd,"Idemitsu Kosan Co.,Ltd.",IID000000002123776
halma-public-limited-company,HALMA PUBLIC LIMITED COMPANY,IID000000002168855
covivio-sa,COVIVIO SA,IID000000002126466
edenred-sa,EDENRED S.A.,IID000000002594695
eutelsat-communications-sa,EUTELSAT COMMUNICATIONS S.A.,IID000000002165808
robert-half-international-inc,ROBERT HALF INTERNATIONAL INC.,IID000000002128894
dino-polska-spolka-akcyjna,DINO POLSKA SPOLKA AKCYJNA,IID000000002784652
santos-limited,SANTOS LIMITED,IID000000002127207
stockland-corporation-ltd,STOCKLAND CORPORATION LTD,IID000000002202852
public-storage,PUBLIC STORAGE,IID000000002180450
stora-enso-oyj,Stora Enso Oyj,IID000000002123961
ross-stores-inc,"ROSS STORES, INC.",IID000000002181712
extra-space-storage-inc,EXTRA SPACE STORAGE INC.,IID000000002165936
hyundai-department-store-co-ltd,"Hyundai Department Store Co.,Ltd.",IID000000002126660
jiangsu-yanghe-brewery-joint-stock-co-ltd,"Jiangsu Yanghe Brewery Joint-stock Co., Ltd.",IID000000002569362
burlington-stores-inc,"BURLINGTON STORES, INC.",IID000000002240064
president-chain-store-corporation,PRESIDENT CHAIN STORE CORPORATION,IID000000002180088
recordati-industria-chimica-e-farmaceutica-spa,RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA S.P.A.,IID000000002128620
klepierre-sa,KLEPIERRE SA,IID000000002127335
enagas-sa,"Enagas, S.A.",IID000000002134340
qiagen-nv,Qiagen N.V.,IID000000002180578
safran-sa,SAFRAN S.A.,IID000000002129078
koninklijke-philips-nv,Koninklijke Philips N.V.,IID000000002144603
koninklijke-vopak-nv,Koninklijke Vopak N.V.,IID000000002172940
koninklijke-kpn-nv,Koninklijke KPN N.V.,IID000000002172937
koninklijke-dsm-nv,Koninklijke DSM N.V.,IID000000002144233
koninklijke-ahold-delhaize-nv,Koninklijke Ahold Delhaize N.V.,IID000000002172935
orange-sa,ORANGE S.A.,IID000000002133302
orange-polska-spolka-akcyjna,ORANGE POLSKA SPOLKA AKCYJNA,IID000000002186456
orange-life-insurance-ltd,"Orange Life Insurance, Ltd.",IID000000002392573
